epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0664,1.29354,2.79643,1.07125,0.01276,0.33126,0.3004,0.23482,1.20839,3.55725,0.97359,0.000362283,0.000362283,0.000362283
2,45.1009,1.21816,1.12451,1.03544,0.8399,0.26042,0.6168,0.43905,1.30046,2.36209,1.02536,0.00071811,0.00071811,0.00071811
3,49.1285,1.18048,0.93622,1.03114,0.66851,0.66772,0.67753,0.46737,1.2519,1.18788,1.02685,0.00105927,0.00105927,0.00105927
4,53.0956,1.14279,0.8589,1.01602,0.77173,0.72748,0.76209,0.53437,1.24285,0.88999,1.04782,0.00104501,0.00104501,0.00104501
5,57.0425,1.11611,0.79694,1.00133,0.68449,0.74424,0.74664,0.52059,1.17335,0.81182,1.02693,0.00102301,0.00102301,0.00102301
6,60.938,1.10559,0.78043,1.00091,0.71505,0.76147,0.74346,0.52838,1.24203,0.92596,1.05457,0.00100101,0.00100101,0.00100101
7,64.8554,1.05081,0.72472,0.98143,0.74004,0.76766,0.7633,0.53785,1.0983,0.82399,0.97483,0.000979013,0.000979013,0.000979013
8,68.7772,1.03152,0.6902,0.97226,0.85327,0.80203,0.85277,0.59185,1.19709,0.7664,1.02305,0.000957015,0.000957015,0.000957015
9,72.7113,1.04737,0.68851,0.98312,0.79038,0.82439,0.83255,0.58152,1.16416,1.09309,1.01695,0.000935018,0.000935018,0.000935018
10,76.6447,1.0622,0.68726,0.97598,0.81789,0.8309,0.85726,0.59591,1.16605,0.67436,1.01592,0.00091302,0.00091302,0.00091302
11,80.573,1.02027,0.65802,0.96689,0.78808,0.80847,0.79175,0.57469,1.03638,0.66306,0.95647,0.000891022,0.000891022,0.000891022
12,84.5105,1.03789,0.66143,0.97387,0.85259,0.86649,0.8861,0.6235,1.06498,0.63638,0.97629,0.000869024,0.000869024,0.000869024
13,88.4094,1.02631,0.64194,0.96438,0.8605,0.86335,0.89447,0.6265,1.05397,0.59655,0.96578,0.000847026,0.000847026,0.000847026
14,92.3099,1.00946,0.62472,0.96379,0.88906,0.87701,0.91715,0.61262,1.23252,0.66989,1.05695,0.000825029,0.000825029,0.000825029
15,96.1897,1.00352,0.60734,0.95793,0.85705,0.78777,0.84446,0.58706,1.25472,0.63817,1.07823,0.000803031,0.000803031,0.000803031
16,100.104,1.00071,0.60987,0.96698,0.87401,0.84006,0.87669,0.61478,1.09809,0.60808,0.97677,0.000781033,0.000781033,0.000781033
17,104.013,1.00046,0.60412,0.95351,0.89149,0.87763,0.91158,0.64311,1.02191,0.55431,0.94753,0.000759035,0.000759035,0.000759035
18,107.907,0.98526,0.58582,0.95254,0.91045,0.85373,0.89801,0.64185,1.01715,0.56592,0.953,0.000737037,0.000737037,0.000737037
19,111.826,0.98906,0.5838,0.9569,0.88682,0.90394,0.92798,0.65858,0.97357,0.57928,0.93091,0.00071504,0.00071504,0.00071504
20,115.693,0.98535,0.57973,0.94988,0.86966,0.90091,0.90547,0.64387,1.02817,0.56917,0.95007,0.000693042,0.000693042,0.000693042
